
 Version: 2.1
 Chunks: 1
 Start: 2026-04-01 11:36:19 (UTC)
 Duration: 9 s

 Event Type                                   Count  Size (bytes) 
 jdk.JavaExceptionThrow                           0             0
 jdk.ZThreadPhase                                 0             0
 jdk.ZUncommit                                    0             0
 jdk.ZUnmap                                       0             0
 jdk.ShenandoahHeapRegionStateChange              0             0
 jdk.ShenandoahHeapRegionInformation              0             0
 jdk.Flush                                        0             0
 jdk.HeapDump                                     0             0
 jdk.GCLocker                                     0             0
 jdk.Deserialization                              0             0
 jdk.ProcessStart                                 0             0
 jdk.SecurityPropertyModification                 0             0
 jdk.ContainerConfiguration                       0             0
 jdk.SecurityProviderService                      0             0
 jdk.ContainerCPUUsage                            0             0
 jdk.TLSHandshake                                 0             0
 jdk.ContainerCPUThrottling                       0             0
 jdk.X509Certificate                              0             0
 jdk.ContainerMemoryUsage                         0             0
 jdk.X509Validation                               0             0
 jdk.ContainerIOUsage                             0             0
